"","CODE","COUNTRY","SUB.CHAPTER","TITLE","UNIT","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X"
"739","CYP.1.0.99.0.UOGH","Cyprus","03 Balances","Gross operating surplus and mixed income: households and NPISH ","Mrd ECU/EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.321949,1.371464,1.473613,1.560825,1.669372,1.818498,1.955605,2.030198,2.066601,2.279435,2.483977,2.642881,2.781485,3.21854,3.10989,3.09188,3.09625,3.10985,2.96942,2.97903,3.0908,3.20825,3.33658,"3.470044                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",NA
"740","LVA.1.0.99.0.UOGH","Latvia","03 Balances","Gross operating surplus and mixed income: households and NPISH ","Mrd ECU/EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.158225,0.150794,0.309712,0.857599,1.017923,0.732689,0.732758,0.703695,0.926086,0.970481,1.182766,1.27468,1.462552,1.696872,2.326958,3.024164,3.223175,2.437371,2.27251,2.550413,2.775567,2.762052,2.56163,2.45752,2.604961,2.761258,"2.926934                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ",NA
"741","LTU.1.0.99.0.UOGH","Lithuania","03 Balances","Gross operating surplus and mixed income: households and NPISH ","Mrd ECU/EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.115143,1.443114,1.82509,1.982368,2.032931,2.350584,2.299734,2.339794,2.434807,2.549745,2.85151,2.96782,3.19309,3.41042,2.82222,2.63099,2.83668,3.27057,3.38794,3.50996,3.6001,3.6001,3.6001,"3.600100                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ",NA
"742","LUX.1.0.99.0.UOGH","Luxembourg","03 Balances","Gross operating surplus and mixed income: households and NPISH ","Mrd ECU/EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.956185,1.980832,1.913282,2.138901,2.21964,2.39797,2.5585,2.74882,2.82697,2.88624,2.9222,3.2083,3.3013,3.5593,3.4106,3.5709,3.8475,4.0166,NA,NA,NA,NA,NA,"NA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ",NA
"743","HUN.1.0.99.0.UOGH","Hungary","03 Balances","Gross operating surplus and mixed income: households and NPISH ","Mrd ECU/EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.44022,7.80617,8.17481,7.92921,8.6272,9.16727,10.73926,12.07018,11.88592,12.81216,13.90333,13.2533,14.37837,15.32282,13.12673,13.35873,13.91483,13.33577,13.24128,13.42712,13.49295,13.64735,13.8345,"14.09506                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ",NA
"744","MLT.1.0.99.0.UOGH","Malta","03 Balances","Gross operating surplus and mixed income: households and NPISH ","Mrd ECU/EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.632083,0.645069,0.684087,0.682437,0.629516,0.649892,0.67437,0.73002,0.81041,0.80067,0.85759,NA,NA,NA,NA,NA,NA,NA,"NA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",NA
"745","NLD.1.0.99.0.UOGH","Netherlands","03 Balances","Gross operating surplus and mixed income: households and NPISH ","Mrd ECU/EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.59225,5.04225,6.58912,6.12767,8.11735,8.43665,9.34094,11.17608,11.83897,12.82175,13.18734,14.08315,15.5,17.25849,19.16564,21.43756,22.79001,23.90496,23.78199,24.92351,27.47867,29.3692,30.71203,33.19389,33.87915,36.82635,41.95943,42.78724,45.01298,47.36816,50.195,54.21,51.558,52.473,53.968,54.741,55.831,62.189,67.519,69.191,57.383,54.798,58.265,54.246,56.806,57.73,60.283,62.95,63.89425,"64.85266                                                                                                                                                                                                                                                                                                                                   ",NA
"746","AUT.1.0.99.0.UOGH","Austria","03 Balances","Gross operating surplus and mixed income: households and NPISH ","Mrd ECU/EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.07489,25.01958,24.34958,25.15182,26.2245,26.9741,27.7557,28.6216,29.428,30.9545,32.5027,33.48,35.0333,36.8841,36.4583,38.199,40.0027,41.2015,42.0374,43.0598,44.3101,45.41775,46.55319,"47.71702                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",NA
"747","POL.1.0.99.0.UOGH","Poland","03 Balances","Gross operating surplus and mixed income: households and NPISH ","Mrd ECU/EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7504,8.7195,18.0955,22.2764,30.3454,34.6911,36.3986,41.3671,41.3381,49.5039,58.6261,57.4378,50.6185,53.5039,63.1532,70.0275,78.0178,88.8437,77.6451,85.4802,90.5967,94.6698,95.0002,96.16,99.7371,99.4691,105.9329,"110.6852                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ",NA
"748","PRT.1.0.99.0.UOGH","Portugal","03 Balances","Gross operating surplus and mixed income: households and NPISH ","Mrd ECU/EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.81867,19.04094,19.62401,20.62636,21.77171,22.99579,24.44785,25.59276,26.00647,27.64721,28.45073,29.31644,30.17303,31.10299,30.81853,31.58779,30.84441,31.40172,31.75534,31.99278,32.39824,33.56921,34.24059,"34.85692                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ",NA
"749","ROM.1.0.99.0.UOGH","Romania","03 Balances","Gross operating surplus and mixed income: households and NPISH ","Mrd ECU/EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.62533,8.9988,10.37083,9.6549,9.26798,10.66124,12.82177,12.4239,11.66145,15.82427,18.70721,22.56368,27.64679,28.77767,23.67195,28.87644,31.4339,28.81976,34.24547,32.98681,35.67586,37.43735,40.60123,"44.34098                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",NA
"750","SVN.1.0.99.0.UOGH","Slovenia","03 Balances","Gross operating surplus and mixed income: households and NPISH ","Mrd ECU/EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.777661,2.93213,3.301488,3.545344,3.627146,3.759646,3.864291,4.236298,4.188922,4.36716,4.706332,4.994715,5.48417,5.84004,5.71185,5.45304,5.52001,5.26603,5.23263,5.48029,5.62832,5.7223,5.951088,"6.189132                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ",NA
"751","SVK.1.0.99.0.UOGH","Slovakia","03 Balances","Gross operating surplus and mixed income: households and NPISH ","Mrd ECU/EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.67131,3.23606,3.69966,3.94023,3.9835,4.69901,5.2916,5.90581,6.86873,7.87934,9.00276,10.57031,13.40288,16.44248,16.3026,16.4417,16.761,17.339,17.5979,17.8327,17.967,18.05673,18.2373,"18.58381                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ",NA
"752","FIN.1.0.99.0.UOGH","Finland","03 Balances","Gross operating surplus and mixed income: households and NPISH ","Mrd ECU/EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.49476,4.02846,4.00098,3.78864,4.16267,5.04881,5.88745,7.03806,7.44389,8.41878,8.85356,9.10652,8.42937,9.75035,11.476,12.17078,12.18955,10.62485,9.51934,10.42534,12.058,11.77073,12.61308,12.72628,13.819,14.944,15.707,16.439,17.005,17.658,18.189,19.109,20.899,21.664,21.621,22.305,23.506,24.2,25.118,25.122,25.782,26.628,27.16056,"27.70377                                                                                                                                                                                                                                                                                                                                                                                   ",NA
"753","SWE.1.0.99.0.UOGH","Sweden","03 Balances","Gross operating surplus and mixed income: households and NPISH ","Mrd ECU/EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.05106,10.16301,10.54228,10.05945,11.39828,11.84268,11.58845,11.8521,12.39216,13.55652,13.14884,14.73582,15.9928,13.22643,13.63168,14.87014,16.16765,15.99992,15.80441,16.27359,18.40137,17.4361,18.55405,18.96413,18.98996,19.46792,20.84028,22.95108,21.31939,18.43818,22.00914,23.58202,23.28486,23.61372,23.20728,22.8648,24.8598,25.20957,"25.78059                                                                                                                                                                                                                                                                                                                                                                                                    ",NA
"754","GBR.1.0.99.0.UOGH","United Kingdom","03 Balances","Gross operating surplus and mixed income: households and NPISH ","Mrd ECU/EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.0063,65.8004,69.7874,76.5328,83.0457,90.8086,91.2424,97.1682,176.4032,191.9051,228.0357,237.8251,253.8364,291.0181,297.4461,305.7672,293.9999,303.9982,316.5065,331.6883,336.9233,310.6264,251.64,261.6676,268.674,308.8582,302.0093,345.271,398.5697,370.8338,347.677,"347.3147                                                                                                                                                                                                                                                                                                                                                                                                                                             ",NA
